anime_id;Name;Rating;Type;Genre;Studios;Producers;Licensors;Voice_Actors
9366;Kaichou wa Maid-sama!: Omake dayo! (Maid Sama!: Omake dayo);7.49;Special;['Comedy', 'School', 'Shoujo'];['J.C.Staff'];[None];['Sentai Filmworks'];['Okamoto, Nobuhiko', 'Fujimura, Ayumi', 'Ishihara, Kaori']
22763;Kara no Kyoukai: Mirai Fukuin - Extra Chorus;7.49;Special;['Drama', 'Mystery', 'Seinen', 'Supernatural'];['ufotable'];[None];['Aniplex of America'];['Sakamoto, Maaya', 'Suzumura, Kenichi', 'Noto, Mamiko', 'Taneda, Risa']
38594;Kimi to, Nami ni Noretara (Ride Your Wave);7.49;Movie;['Drama', 'Romance', 'Supernatural'];['Science SARU'];['Lawson Entertainment'];['GKIDS'];['Katayose, Ryouta', 'Kawaei, Rina']
37475;Kishuku Gakkou no Juliet (Boarding School Juliet);7.48;TV;['Action', 'Comedy', 'Romance', 'School', 'Shounen'];['LIDENFILMS'];['NBCUniversal Entertainment Japan'];[None];['Sakura, Ayane', 'Kayano, Ai', 'Ono, Yuuki']
27411;Koukaku Kidoutai: Shin Movie (Ghost in the Shell: The New Movie);7.49;Movie;['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha'];['Production I.G'];['Bandai Visual'];['Funimation'];['Sakamoto, Maaya']
8100;Mardock Scramble: The First Compression;7.49;Movie;['Action', 'Sci-Fi', 'Psychological'];['GoHands'];['Aniplex', 'Starchild Records'];['Sentai Filmworks'];['Hayashibara, Megumi', 'Yashima, Norito']
593;Mugen no Ryvius (Infinite Ryvius);7.49;TV;['Drama', 'Mecha', 'Military', 'Psychological', 'Sci-Fi', 'Space'];['Sunrise'];['TV Tokyo', 'Bandai Visual', 'Yomiko Advertising'];['Bandai Entertainment', 'Sentai Filmworks'];['Shiratori, Tetsu', 'Kuwashima, Houko', 'Hiyama, Nobuyuki', 'Seki, Tomokazu', 'Hikami, Kyouko', 'Hoshi, Soichiro']
1047;On Your Mark;7.49;Music;['Sci-Fi', 'Music', 'Drama'];['Studio Ghibli'];[None];[None];[None]
34262;Oushitsu Kyoushi Heine (The Royal Tutor);7.49;TV;['Slice of Life', 'Comedy', 'Historical', 'Shounen'];['Bridge'];['TV Tokyo', 'Square Enix', 'Sotsu', 'TV Osaka', 'AT-X', 'DAX Production', 'TV Tokyo Music', 'Avex Pictures', 'BS Japan', 'Dai Nippon Printing', 'Contents Seed', 'A-Sketch'];['Funimation'];['Ueda, Keisuke', 'Asato, Yuuya', 'Hirose, Daisuke', 'Aoi, Shouta', 'Adachi, Yuuto']
9979;Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana;7.49;Movie;['Action', 'Fantasy', 'Magic', 'Shoujo'];['Toei Animation'];['Asahi Broadcasting'];[None];['Mizusawa, Fumie', 'Mizuki, Nana', 'Komatsu, Yuka', 'Honna, Youko', 'Yukana', 'Hisakawa, Aya', 'Sanpei, Yuuko', 'Irino, Miyu', 'Kuwashima, Houko', 'Koshimizu, Ami']
32485;Prison School: Mad Wax;7.48;OVA;['Comedy', 'Romance', 'Ecchi', 'School', 'Seinen'];['J.C.Staff'];[None];[None];['Konishi, Katsuyuki', 'Kamiya, Hiroshi', 'Namikawa, Daisuke', 'Okitsu, Kazuyuki', 'Suzumura, Kenichi']
5671;Saki;7.49;TV;['Game', 'School', 'Slice of Life'];['Gonzo', 'Picture Magic'];['TV Tokyo', 'Square Enix', 'Sotsu', 'Lantis', 'Pony Canyon', 'KlockWorx', 'TV Tokyo Music', 'Kiyosumi High School Mahjong Club', 'Sotsu Music Publishing'];[None];['Ueda, Kana', 'Itou, Shizuka', 'Koshimizu, Ami', 'Kugimiya, Rie', 'Fukuyama, Jun', 'Shiraishi, Ryouko']
166;Samurai 7;7.49;TV;['Historical', 'Mecha', 'Samurai', 'Sci-Fi'];['Gonzo'];['GDH', 'Sotsu Music Publishing'];['Funimation'];['Miki, Shinichiro', 'Kong, Kuwata', 'Inukai, Junji', 'Terasoma, Masaki', 'Park, Romi', 'Inada, Tetsu', 'Orikasa, Fumiko', 'Saito, Chiwa', 'Kusano, Tooru', 'Saizen, Tadahisa']
18523;Senyuu. 2;7.49;TV;['Action', 'Comedy', 'Fantasy', 'Parody', 'Shounen'];['Ordet', 'LIDENFILMS'];['TV Tokyo', 'Bandai Visual', 'Lantis', 'Barnum Studio', 'Dwango', 'Good Smile Company'];[None];['Nakamura, Yuuichi', 'Shimono, Hiro', 'Kayano, Ai']
1913;Shonan Junai Gumi!;7.49;OVA;['Action', 'Comedy', 'School'];['J.C.Staff', 'Life Work'];['Japan Home Video'];[None];['Futamata, Issei', 'Hori, Hideyuki']
2424;Suteki Desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!;7.49;Special;['Comedy', 'Shoujo'];[None];['NHK'];[None];['Tange, Sakura', 'Kumai, Motoko', 'Iwao, Junko', 'Hisakawa, Aya']
5712;Tanoshii Muumin Ikka Bouken Nikki;7.49;TV;['Kids', 'Slice of Life', 'Adventure', 'Fantasy'];[None];['TV Tokyo', 'Telescreen'];[None];['Koyasu, Takehito', 'Takayama, Minami', None, None, None, None, None]
38793;Tensei shitara Slime Datta Ken OVA;7.48;OVA;['Fantasy', 'Shounen'];['8bit'];[None];[None];['Okasaki, Miho']
200;Tenshi na Konamaiki (Cheeky Angel);7.49;TV;['Comedy', 'Magic', 'Romance', 'Shounen'];['TMS Entertainment'];[None];[None];['Hayashibara, Megumi', 'Takagi, Wataru', 'Ohmoto, Makiko', 'Hiyama, Nobuyuki', 'Tanaka, Kazunari', 'Ueda, Yuuji']
3613;Toshokan Sensou (Library Wars);7.49;TV;['Action', 'Military', 'Comedy', 'Romance'];['Production I.G'];['Fuji TV', 'Code', 'Asmik Ace', 'ASCII Media Works', 'Sony Music Entertainment', 'Atelier Musa'];['Discotek Media'];['Maeno, Tomoaki', 'Inoue, Marina']
6187;Nodame Cantabile OVA;7.48;OVA;['Comedy', 'Josei', 'Music', 'Romance', 'Slice of Life'];['J.C.Staff'];[None];[None];['Kawasumi, Ayako', 'Seki, Tomokazu', 'Touchi, Hiroki']
11933;Oda Nobuna no Yabou (The Ambition of Oda Nobuna);7.48;TV;['Comedy', 'Historical', 'Romance'];['Madhouse', 'Studio Gokumi'];['Pony Canyon', 'AT-X', 'KlockWorx', 'SoftBank Creative'];['Sentai Filmworks'];['Itou, Kanae', 'Eguchi, Takuya']
